# time(s) total(B)
0 0
0.323637 1829216
0.627409 1830296
1.0176 1831376
1.34847 1832168
1.63833 4506032
2.05161 8743216
2.34779 13008424
2.66035 15706504
2.95015 17670600
3.42407 19143208
3.88359 19792864
4.41276 20929296
4.92469 21975456
5.28553 25116952
5.75221 34344104
6.16192 23648688
6.44582 24049640
6.93258 24337368
7.21655 24392344
7.62215 26014504
8.02125 28631192
8.25852 28289824
8.73276 29854328
9.09061 26869240
9.44617 27938304
9.68321 29380320
10.039 30871032
10.2877 31882384
10.6433 33236744
10.8804 33750680
11.3001 35818840
11.5947 36342872
12.0751 37221496
12.6672 40904248
12.9479 41086848
13.3633 45513992
13.6736 46001640
14.0741 45906352
14.3985 46431056
14.8151 46147328
15.088 46148304
15.5022 46899016
15.8266 48215048
16.3914 51153080
16.7159 50657864
17.1478 53034488
17.7011 54918488
17.9328 55831856
20.4962 457806760
20.5717 457806760
23.0798 457807824
23.2197 726378400
32.4663 457806760
59.2689 189369608
60.3042 323859416
61.427 323859536
62.5246 323859656
63.6921 323859776
64.8145 323859896
65.9257 323860016
67.1287 323860136
68.235 323860256
69.3707 323860376
70.5502 323860496
70.7926 323779112
71.7807 323592984
72.0124 33151680
