# time(s) total(B)
0 0
0.439876 1829576
0.712697 1830296
1.22238 1831736
1.54455 3046264
1.83998 5437624
2.14288 8749640
2.65572 14939648
2.91956 17238600
3.28229 26787080
3.56868 21758536
3.95175 21585624
4.47836 20255552
4.92972 26125200
5.45651 21245472
5.84014 34344104
6.3251 23060064
6.6887 24443032
7.17335 25376776
7.59716 25365600
7.83961 30404400
8.2031 29802528
8.4461 26947440
8.89711 27086040
9.34798 27264352
9.68634 28727312
10.1376 30677424
10.3753 31882384
10.8261 33476680
11.31 35442640
11.6753 36339408
12.0428 39554944
12.3813 38748120
12.7532 40904248
13.039 41389144
13.3484 43592408
13.597 45972584
13.916 45479248
14.1464 45691160
14.4445 46336280
14.7716 46145720
15.2193 46147672
15.7069 46174696
16.0049 47706928
16.4271 49642304
16.8088 50411712
17.1069 50738320
17.416 53034152
17.6448 55084024
18.0919 55251568
18.2006 55831600
20.764 457806440
20.8395 457806440
23.3476 457807504
23.4876 726378080
39.8738 457806440
64.4765 189369288
65.5119 323859176
66.7094 323859296
67.9017 323859416
69.0643 323859536
70.1761 323859656
71.277 323859776
72.3618 323859896
73.5147 323860016
74.6539 323860136
75.8451 323860256
76.125 323778872
77.1131 323592664
77.3419 33886704
