# time(s) total(B)
0 0
0.247474 1829216
0.540653 1829576
0.786293 1830296
1.06812 1831016
1.55855 1839064
1.92407 5965288
2.24833 8696200
2.61428 13350360
2.90372 17147600
3.4021 26787080
3.72933 19672352
4.08687 19494432
4.29122 20214904
4.72049 21273272
5.22741 21488824
5.56274 20457632
5.96042 34344472
6.29555 23498400
6.51888 24248912
6.85399 23578808
7.13292 23859128
7.41281 24236024
7.80368 28179984
8.02702 26961608
8.36199 31016240
8.80847 31750752
9.25537 27998880
9.59189 31490616
9.81499 28774480
10.1498 29713064
10.4965 31882976
10.8315 33037432
11.3178 35095856
11.683 36271008
12.1628 39555792
12.4179 38161304
12.7047 38339768
13.0165 39919040
13.3021 40700312
13.7166 45973656
14.0356 45480320
14.5473 46336720
14.9329 46146776
15.3997 46148728
15.8492 46198344
16.1366 48496040
16.4234 48727888
16.8018 51153208
17.232 50724896
17.3998 51681080
17.4149 52509376
17.558 53034648
17.6129 53565976
17.7165 54122128
17.7868 55084616
17.9912 54900216
18.1956 55112600
18.3425 55832128
18.5543 80317512
18.559 80317512
18.7246 97230912
22.0952 80317512
46.6192 63538616
46.838 72166488
47.0868 72166840
47.2923 72167032
47.5067 50402640
