# time(s) total(B)
0 0
0.274028 1829216
0.85666 1831736
1.20887 3650104
1.62037 6885544
1.95504 11949024
2.37666 15808880
2.81034 19454232
3.11697 19797304
3.50564 21092144
3.89009 19605104
4.21061 20099848
4.53129 24973016
4.94826 22676624
5.25464 21229344
5.48879 34344328
5.79565 22544168
6.10185 25778448
6.40787 24768792
6.71409 24296000
6.95899 24743464
7.38776 26356992
7.63286 27613680
7.8777 30548656
8.25409 26850752
8.53638 26515824
8.91253 26874120
9.38279 29034024
9.75916 30615904
10.0412 31967688
10.512 33501808
10.8464 35095392
11.036 35819112
11.4006 36497632
11.6924 39555280
11.9747 39309864
12.2281 38919960
12.5292 40089600
12.8149 40273592
13.2464 45972856
13.6468 49127096
13.8997 46254920
14.3068 46145848
14.5857 46147312
14.8137 46148288
15.1551 46284696
15.5345 48212176
15.7877 49278360
16.0995 51153016
16.4791 50680112
16.6688 50874200
16.6977 51680568
16.7128 52508864
16.8559 53034016
16.9107 53565672
17.0143 54121824
17.0845 55084312
17.2742 54681088
17.4637 54932808
17.6402 55832080
17.8519 80317480
17.8566 80317480
18.0222 97230880
32.5202 80317480
57.7942 63538568
58.012 72166680
58.2058 72167032
58.4462 72167296
58.6358 50521248
58.8254 9808016
